BSG	AF	Ani	Ecc	EqD	prolif1	prolif2	alp	ars	vAF	vAni	vEcc	vEqD	tlength	tvolume	tnodes	scr	ulength	uarea	uvolume	vlength	varea	vvolume
10	0.00008	0.625	0.790569	2.25676	0.628593	0.666225	0.118987	0.983482	0.917896	0.6736	0.373776	0.587303	0.988811	1.047833	1.894778	0.715239	0.810147	1.759304	2.685075	0.914505	1.749339	2.674363
5	0.000106	0.333333	0.57735	4.51352	0.556694	0.752623	0.783988	0.917147	1.83778	0.472925	0.403849	1.080491	1.167731	1.160539	1.299865	0.747599	0.778852	1.749514	1.57712	0.807465	1.377083	1.851695
5	0.000124	0.898849	0.948076	5.75363	0.251155	0.471514	0.780116	0.63697	0.188493	0.393358	0.393154	0.773188	1.167395	1.576108	1.3009	1.677044	0.758708	2.484796	1.744529	0.900092	2.237624	2.433308
5	0.000146	0.5	0.707107	4.65243	0.263277	0.753256	0.784513	0.632403	0.642425	0.397668	0.533628	0.766295	1.16759	1.160338	1.300234	0.748785	0.88281	2.123995	1.62779	1.463092	1.768062	2.347497
20	0.000015	0.687122	0.828928	4.51352	0.770742	0.189886	0.816122	0.983482	0.769527	0.41633	0.165326	0.648562	0.16933	0.234419	1.480216	0.718206	0.694732	3.318053	2.862427	0.842461	2.060999	1.85819
10	0.00008	0.817189	0.903985	14.8843	0.501766	0.746767	0.246467	0.103117	0.573461	0.375399	0.303715	0.894093	1.60126	1.132556	0.652753	0.875376	0.943339	2.267175	2.78041	0.905344	2.410099	0.220135
10	0.000073	0.333333	0.57735	4.51352	0.202654	0.775449	0.317128	0.635926	0.544698	0.437527	0.403824	0.150964	1.101339	1.070721	1.653565	0.705474	0.575923	2.164664	2.608219	1.774447	1.893923	2.415662
5	0.000131	0.655804	0.809817	1.95441	1.077121	0.748714	0.797584	0.103117	0.803819	0.406317	0.363215	0.749946	0.730442	1.163868	1.29775	0.068638	0.820968	1.650252	0.458752	1.192595	0.966549	1.523295
5	0.000135	0.902592	0.950048	6.67558	0.687461	0.517197	0.778006	0.141096	0.805027	0.253162	0.413093	1.080491	1.1659	1.157978	1.302189	0.750196	0.743119	2.259257	1.692792	2.198857	1.737626	1.916391
5	0.000022	0.558331	0.747215	3.74241	0.687529	0.763411	0.246467	0.917147	0.804357	0.335554	0.269935	0.77703	1.168447	1.164246	1.299318	0.747432	0.404052	0.778079	1.622413	1.184045	0.62901	0.139014
